category,mediaType,provider,query,reason
Anime,anime,jikan,Pluribus,no jikan match
Movies,movie,tmdb,Miracle sur la 8 Eme Rue (1987),no tmdb match
Movies,movie,tmdb,Miracle sur la 34 E Rue (1994),no tmdb match
Books/eBook,book,googlebooks,Mille Miles 172 Février-Mars (2026),no google books match
Anime,anime,jikan,Ludwig,no jikan match
Books/eBook,book,googlebooks,E Bike 53 Février-Mars (2026),no google books match
Movies,movie,tmdb,Dragon Quest The Adventure of Dai Rise Up The Disciples of Avan (1992),no tmdb match
Movies,movie,tmdb,Dragon Quest The Adventure of Dai Destroy the Enemy The New Six Great Generals (1992),no tmdb match
Books/eBook,book,googlebooks,Alpes Magazine Mars-Avril (2026),missing google books image
Musique,audio,theaudiodb,Imagine Dragons Evolve Deluxe (2017),no theaudiodb match
Movies,movie,tmdb,Meurtre Mysterieux a Manathan (1993),no tmdb match
Films,movie,tmdb,Sonic the Hedgehog 3 Hybrid,no tmdb match
Films,movie,tmdb,Sucker Punch Version Longue,no tmdb match
Films,movie,tmdb,Sucker Punch Version Longue,no tmdb match
Series,series,tmdb,Jigokuraku,no tmdb match
Audio,audio,theaudiodb,Callas Une vie d'art et d'amour (2004),no theaudiodb match
Livres,book,googlebooks,EBOOK Jeff Lindsay - Dexter LIntegrale epub,no google books match
Films,movie,tmdb,Rasta Rockett (1993),no tmdb match
Films,movie,tmdb,Rasta Rockett (1993),no tmdb match
Séries TV,series,tmdb,Shaman King UNCENSORED (2001),no tmdb match
Séries TV,series,tmdb,Shaman King UNCENSORED (2001),no tmdb match
Séries TV,series,tmdb,Shaman King UNCENSORED (2001),no tmdb match
Séries TV,series,tmdb,Shaman King UNCENSORED (2001),no tmdb match
Films,movie,tmdb,Dragon Quest Film 1 L Aventure De Dai (1991),no tmdb match
Audio,audio,theaudiodb,U2 Days Of Ash (2026),no theaudiodb match
eBook : Livres,book,googlebooks,Mélissa Da Costa Tout le bleu du ciel (2020),no google books match
Musique,audio,theaudiodb,Callas Une Vie D'art Et D'amour (2004),no theaudiodb match
Musique,audio,theaudiodb,All Them Witches-Dying Surfer Meets His Maker-24BIT-44 1KHZ-WEB (2015),no theaudiodb match
Musique,audio,theaudiodb,All Them Witches-Dying Surfer Meets His Maker-24BIT-44 1KHZ-WEB (2015),no theaudiodb match
Musique,audio,theaudiodb,All Them Witches-Dying Surfer Meets His Maker-24BIT-44 1KHZ-WEB (2015),no theaudiodb match
Musique,audio,theaudiodb,All Them Witches-Dying Surfer Meets His Maker-24BIT-44 1KHZ-WEB (2015),no theaudiodb match
eBook : Livres,book,googlebooks,La voie rubis (2017),missing google books image
eBook : Livres,book,googlebooks,Contact 01 - IF 837 (2014),no google books match
Musique,audio,theaudiodb,Neue Deutsche Kunst Keine Nichtmusik (2026),no theaudiodb match
Books,book,googlebooks,Tribune de Geneve 27 janv (2018),missing google books image
Books,book,googlebooks,Tribune de Geneve 19 janv (2018),missing google books image
Books,book,googlebooks,20 Minutes Lausanne 29 janv (2018),no google books match
Books,book,googlebooks,20 Minutes Lausanne 26 janv (2018),no google books match
Books,book,googlebooks,20 Minutes Lausanne 25 janv (2018),no google books match
Books,book,googlebooks,20 Minutes Lausanne 24 janv (2018),no google books match
Films & Vidéos,movie,tmdb,Tout Ce Que Vous Avez Toujours Voulu Savoir Sur Le Sexe Sans Jamais Oser Le Demander (1972),no tmdb match
Books,book,googlebooks,20 Minutes Lausanne 23 janv (2018),missing google books image
Books,book,googlebooks,20 Minutes Lausanne 19 janv (2018),missing google books image
Books,book,googlebooks,20 Minutes Lausanne 18 janv (2018),no google books match
Books,book,googlebooks,20 Minutes Lausanne 16 janv (2018),no google books match
Books,book,googlebooks,20 Minutes Lausanne 22 janv (2018),missing google books image
Films & Vidéos,movie,tmdb,Comedie Erotique D Une Nuit D Ete (1982),no tmdb match
Books,book,googlebooks,20 Minutes Lausanne 15 janv (2018),no google books match
Books,book,googlebooks,20 Minutes Geneve 30 janv (2018),no google books match
Books,book,googlebooks,20 Minutes Geneve 26 janv (2018),no google books match
Books,book,googlebooks,20 Minutes Geneve 31 janv (2018),no google books match
Musique,audio,theaudiodb,MAY A Goodbye (2026),no theaudiodb match
Books,book,googlebooks,20 Minutes Geneve 23 janv (2018),no google books match
Books,book,googlebooks,20 Minutes Geneve 24 janv (2018),no google books match
Books,book,googlebooks,20 Minutes Geneve 15 janv (2018),no google books match
Books,book,googlebooks,20 Minutes Geneve 16 janv (2018),no google books match
Audio : Musique,audio,theaudiodb,The Cars - Heartbeat City (1984),missing theaudiodb image
Anime,anime,jikan,WondLa,no jikan match
Musique,audio,theaudiodb,Joey Ferris Vinyl Redemption (2026),no theaudiodb match
Musique,audio,theaudiodb,JOHN LEE HOOKER DISCOGRAPHY (2026),no theaudiodb match
Films,movie,tmdb,Dragon Quest Film 2 Les Disciples D Avan (1992),no tmdb match
Films,movie,tmdb,Dragon Quest Film 3 Les Six Commandants Demonia (1992),no tmdb match
